YearStart,LocationAbbr,DataValue,Stratification1
2020,OH,106.1,"American Indian or Alaska Native, non-Hispanic"
2020,NV,158.9,"Asian, non-Hispanic"
2020,NH,226.6,"White, non-Hispanic"
2020,OH,11.0,"Multiracial, non-Hispanic"
2020,NV,358.7,"White, non-Hispanic"
2020,NM,322.4,"White, non-Hispanic"
2020,NC,231.3,"White, non-Hispanic"
2020,NM,224.6,"Black, non-Hispanic"
2020,OH,48.8,Hispanic
2020,NY,129.4,Hispanic
2020,OH,245.3,"Black, non-Hispanic"
2020,NJ,74.3,"Asian, non-Hispanic"
2020,NJ,161.5,"American Indian or Alaska Native, non-Hispanic"
2020,PA,257.6,"Black, non-Hispanic"
2020,RI,41.9,Hispanic
2020,VA,207.8,"Black, non-Hispanic"
2020,PA,17.9,"Multiracial, non-Hispanic"
2020,VA,31.3,Hispanic
2020,RI,104.8,"Black, non-Hispanic"
2020,US,89.1,"Asian, non-Hispanic"
2020,PA,56.7,Hispanic
2020,TN,59.0,"Asian, non-Hispanic"
2020,UT,157.6,"Hawaiian or Pacific Islander, non-Hispanic"
2020,VA,220.8,"White, non-Hispanic"
2020,TN,34.9,Hispanic
2020,TX,146.2,"Hawaiian or Pacific Islander, non-Hispanic"
2020,SC,61.5,"Asian, non-Hispanic"
2020,TN,16.3,"Multiracial, non-Hispanic"
2020,TN,233.4,"Black, non-Hispanic"
2020,US,78.8,Hispanic
2020,UT,51.0,"Asian, non-Hispanic"
2020,US,150.6,"Hawaiian or Pacific Islander, non-Hispanic"
2020,UT,154.3,"White, non-Hispanic"
2020,VA,92.0,"American Indian or Alaska Native, non-Hispanic"
2020,US,224.3,"Black, non-Hispanic"
2020,PA,294.6,"White, non-Hispanic"
2020,UT,40.7,Hispanic
2020,PA,61.7,"Asian, non-Hispanic"
2020,UT,86.3,"American Indian or Alaska Native, non-Hispanic"
2020,US,144.3,"American Indian or Alaska Native, non-Hispanic"
2020,VT,259.8,"White, non-Hispanic"
2020,RI,283.3,"White, non-Hispanic"
2020,SC,246.6,"White, non-Hispanic"
2020,TX,14.0,"Multiracial, non-Hispanic"
2020,TX,75.3,"American Indian or Alaska Native, non-Hispanic"
2020,TN,296.9,"White, non-Hispanic"
2020,SC,35.3,Hispanic
2020,US,37.3,"Multiracial, non-Hispanic"
2020,RI,83.2,"Asian, non-Hispanic"
2020,TX,89.4,Hispanic
2020,TX,194.5,"Black, non-Hispanic"
2020,US,268.9,"White, non-Hispanic"
2020,VA,57.5,"Asian, non-Hispanic"
2020,SD,160.3,"American Indian or Alaska Native, non-Hispanic"
2020,UT,84.1,"Black, non-Hispanic"
2020,TX,55.6,"Asian, non-Hispanic"
2020,TX,265.4,"White, non-Hispanic"
2020,SD,230.9,"White, non-Hispanic"
2020,SC,219.9,"Black, non-Hispanic"
2020,VA,15.7,"Multiracial, non-Hispanic"
2020,WV,302.4,"White, non-Hispanic"
2021,AL,50.0,"Asian, non-Hispanic"
2021,AL,117.2,"American Indian or Alaska Native, non-Hispanic"
2021,AR,249.4,"Black, non-Hispanic"
2021,AL,31.5,Hispanic
2020,WY,224.3,"White, non-Hispanic"
2021,CA,219.1,"Hawaiian or Pacific Islander, non-Hispanic"
2021,AZ,110.0,"American Indian or Alaska Native, non-Hispanic"
2021,AK,147.9,"White, non-Hispanic"
2020,WA,134.0,"Black, non-Hispanic"
2021,AZ,192.2,"Hawaiian or Pacific Islander, non-Hispanic"
